rank;name;worth;age;country;company;branch
145;Hui Wing Mau;9.5;69;HK;real estate ;Real Estate
146;Dustin Moskovitz;9.3;35;US;Facebook ;Technology
147;Lei Jun;9.2;50;CN;smartphones ;Technology
147;Quek Leng Chan;9.2;78;MY;banking, property ;Diversified
147;Sun Hongbin;9.2;57;US;real estate ;Real Estate
150;Finn Rausing;9.1;65;SE;packaging ;Food & Beverage
150;Charoen Sirivadhanabhakdi;9.1;75;TH;alcohol, real estate ;Food & Beverage
153;Stewart and Lynda Resnick;9;NA;US;agriculture, water ;Food & Beverage
153;Luis Carlos Sarmiento;9;87;CO;banking ;Finance & Investments
155;Gautam Adani;8.9;57;IN;commodities, ports ;Diversified
155;Christy Walton;8.9;71;US;Walmart ;Fashion & Retail
157;Sunil Mittal & family;8.8;62;IN;telecom ;Telecom
157;Zhang Bangxin;8.8;40;CN;education ;Service
159;Anthony Pratt;8.7;59;AU;manufacturing ;Manufacturing
160;German Khan;8.5;58;RU;oil, banking, telecom ;Energy
161;Eduardo Saverin;8.4;38;BR;Facebook ;Technology
162;Aliko Dangote;8.3;62;NG;cement, sugar ;Manufacturing
162;George Soros;8.3;89;US;hedge funds ;Finance & Investments
162;Zong Qinghou;8.3;74;CN;beverages ;Food & Beverage
165;Richard Qiangdong Liu;8.2;46;CN;e-commerce ;Technology
165;Lu Zhongfang;8.2;77;CN;education ;Automotive
165;Cyrus Poonawalla;8.2;78;IN;vaccines ;Healthcare
169;Ernesto Bertarelli;8;54;CH;biotech, investments ;Healthcare
169;Mike Cannon-Brookes;8;40;AU;software ;Technology
169;Carl Cook;8;57;US;medical devices ;Healthcare
169;Scott Farquhar;8;40;AU;software ;Technology
169;Gong Hongjia & family;8;55;HK;video surveillance ;Finance & Investments
169;Jerry Jones;8;77;US;Dallas Cowboys ;Sports
169;Michael Platt;8;52;GB;hedge funds ;Finance & Investments
169;Anders Holch Povlsen;8;47;DK;fashion retail ;Fashion & Retail
169;Eric Wittouck;8;73;BE;Investments ;Finance & Investments
169;Xu Shihui;8;62;CN;snacks, beverages ;Food & Beverage
179;Andrew Beal;7.9;67;US;banks, real estate ;Finance & Investments
179;Ann Walton Kroenke;7.9;71;US;Walmart ;Fashion & Retail
179;Wang Wenyin;7.9;52;CN;mining, copper products ;Metals & Mining
179;Zhang Fan;7.9;54;CN;touch screens ;Technology
183;Shahid Khan;7.8;69;US;auto parts ;Automotive
184;Zhang Jindong;7.7;57;CN;appliance retailer ;Fashion & Retail
185;Kumar Birla;7.6;52;IN;commodities ;Diversified
185;Chen Bang;7.6;54;CN;hospitals ;Healthcare
185;David Geffen;7.6;77;US;movies, record labels ;Media & Entertainment
185;Jiang Rensheng & family;7.6;66;CN;vaccines ;Healthcare
185;Jim Kennedy;7.6;72;US;media, automotive ;Media & Entertainment
185;Blair Parry-Okeden;7.6;69;US;media, automotive ;Media & Entertainment
185;Stephen Ross;7.6;79;US;real estate ;Real Estate
185;August von Finck;7.6;90;DE;investments ;Finance & Investments
193;David Duffield;7.5;79;US;business software ;Technology
193;Thomas Frist, Jr. & family;7.5;81;US;hospitals ;Healthcare
193;Eyal Ofer;7.5;69;IL;real estate, shipping ;Diversified
196;Niels Peter Louis-Hansen;7.4;72;DK;medical devices ;Healthcare
196;Lakshmi Mittal;7.4;69;IN;steel ;Metals & Mining
196;Nicky Oppenheimer & family;7.4;74;ZA;diamonds ;Metals & Mining
200;John Doerr;7.3;68;US;venture capital ;Technology
